,y,x,osmid,highway,route_ref,name,asset_ref,geometry
410464074,1.3995595,103.9082822,410464074,bus_stop,136,Blk 178,65249,POINT (103.9082822 1.3995595)
410464088,1.3990941,103.9076522,410464088,bus_stop,136,Blk 196C,65241,POINT (103.9076522 1.3990941)
410472369,1.3993093,103.9109875,410472369,bus_stop,3;6N;83;85,Between Blks 187/188,65279,POINT (103.9109875 1.3993093)
410472372,1.4032091,103.9055521,410472372,bus_stop,3;6N;34;83;84;85;136;386,Blk 298,65229,POINT (103.9055521 1.4032091)
410472373,1.3999807,103.9106464,410472373,bus_stop,3;83;85,Opposite Blk 188,65271,POINT (103.9106464 1.3999807)
410472374,1.401732,103.907635,410472374,bus_stop,3;6N;83;85;136;386,Edgefield Primary School,65289,POINT (103.907635 1.401732)
410472375,1.3971462,103.9146038,410472375,bus_stop,3;83;85,Blk 649,65261,POINT (103.9146038 1.3971462)
410472376,1.4040774,103.9048174,410472376,bus_stop,3;34;34A;83;84;85;136;386,Blk 303D,65221,POINT (103.9048174 1.4040774)
410472377,1.401923,103.907859,410472377,bus_stop,3;83;85;136;386,Punggol Secondary School,65281,POINT (103.907859 1.401923)
410472378,1.3964771,103.9149239,410472378,bus_stop,3;6N;83;386,Blk 162B,65269,POINT (103.9149239 1.3964771)
410472379,1.39429,103.915795,410472379,bus_stop,3;6N;50;83;85;386,Riviera Stn Exit B,65231,POINT (103.915795 1.39429)
410472380,1.3942075,103.916123,410472380,bus_stop,3;50;83;85,Riviera Stn Exit A,65239,POINT (103.916123 1.3942075)
410472381,1.4008806,103.9035672,410472381,bus_stop,6N;62;62A;82,Opposite Blk 201A,65201,POINT (103.9035672 1.4008806)
410472382,1.3990411,103.9061631,410472382,bus_stop,3;62;83;136,Cove Stn Exit A,65159,POINT (103.9061631 1.3990411)
410472383,1.3958293,103.910029,410472383,bus_stop,3;62;83,Meridian Stn Exit A,65169,POINT (103.910029 1.3958293)
410472387,1.3991335,103.9065501,410472387,bus_stop,3;6N;62;62A;83;136,Cove Stn Exit B,65151,POINT (103.9065501 1.3991335)
410472392,1.3942822,103.9118997,410472392,bus_stop,3;62;83,Coral Edge Stn Exit A,65179,POINT (103.9118997 1.3942822)
410472393,1.3944344,103.9122461,410472393,bus_stop,3;6N;62;62A;83;386,Coral Edge Stn Exit B,65171,POINT (103.9122461 1.3944344)
410472394,1.3963978,103.9098666,410472394,bus_stop,3;6N;62;62A;83,Meridian Stn Exit B,65161,POINT (103.9098666 1.3963978)
410472395,1.4003315,103.9038676,410472395,bus_stop,62;82,After Punggol Road,65209,POINT (103.9038676 1.4003315)
410472396,1.4033115,103.9033256,410472396,bus_stop,6N,After Punggol Central,65219,POINT (103.9033256 1.4033115)
410472397,1.4024963,103.9024931,410472397,bus_stop,,After Punggol Field,65211,POINT (103.9024931 1.4024963)
410472402,1.3984929,103.9041539,410472402,bus_stop,3;6N;34;82;83;136,Opposite Blk 103A,65071,POINT (103.9041539 1.3984929)
410472408,1.4183947,103.9080477,410472408,bus_stop,84,After Northshore Crescent,65689,POINT (103.9080477 1.4183947)
410472409,1.4202783,103.9104584,410472409,bus_stop,84,Punggol Road End,65139,POINT (103.9104584 1.4202783)
410472414,1.4009585,103.9052968,410472414,bus_stop,34,Opposite Blk 199C,65081,POINT (103.9052968 1.4009585)
410472422,1.4079321,103.9087263,410472422,bus_stop,84,After Punggol Drive,65101,POINT (103.9087263 1.4079321)
410472469,1.3988936,103.9047796,410472469,bus_stop,3;34;34A;82;83;136,Blk 102C,65079,POINT (103.9047796 1.3988936)
410472478,1.4040152,103.9065771,410472478,bus_stop,84,Blk 301A,65091,POINT (103.9065771 1.4040152)
410472511,1.4076358,103.9088633,410472511,bus_stop,84,Before Punggol Drive,65109,POINT (103.9088633 1.4076358)
410472575,1.4013487,103.9058481,410472575,bus_stop,34;34A,Opposite Blk 296,65089,POINT (103.9058481 1.4013487)
1847853709,1.404107,103.9025242,1847853709,bus_stop,3;34;34A;43;43M;50;62;62A;82;83;84;85;117;118;119;136;382G;382W;386,Punggol Temporary Interchange,65009,POINT (103.9025242 1.404107)
1849631331,1.4053356,103.8974167,1849631331,bus_stop,43;43M;117;118,Soo Teck Station,65141,POINT (103.8974167 1.4053356)
1849631343,1.4052507,103.89706,1849631343,bus_stop,43;43M;117;118,Soo Teck Station,65149,POINT (103.89706 1.4052507)
1855320985,1.404533,103.9071851,1855320985,bus_stop,84,Blk 604A,65099,POINT (103.9071851 1.404533)
2077636382,1.4055431,103.9043482,2077636382,bus_stop,50;382W,Opposite Punggol View Primary School,65359,POINT (103.9043482 1.4055431)
2077636384,1.4059238,103.9048756,2077636384,bus_stop,50;382G,Punggol View Primary School,65351,POINT (103.9048756 1.4059238)
2085845866,1.4031893,103.8981118,2085845866,bus_stop,119;382W,Blk 268C,65339,POINT (103.8981118 1.4031893)
2085845871,1.4022889,103.9006432,2085845871,bus_stop,119;382W,Blk 272C,65349,POINT (103.9006432 1.4022889)
2085845879,1.4026665,103.8986331,2085845879,bus_stop,119;382G,Opposite Blk 268D,65331,POINT (103.8986331 1.4026665)
