,u,v,key,osmid,bridge,oneway,length,geometry,service
0,2274872331,2274872200,0,218215447,yes,False,68.867,"LINESTRING (103.9125485 1.3940301, 103.9130235 1.3936325)",
1,2274872331,2274873645,0,218215447,yes,False,205.596,"LINESTRING (103.9125485 1.3940301, 103.9111185 1.3952027)",
2,6587709456,411102765,0,218215445,yes,False,46.091,"LINESTRING (103.9022357 1.4052749, 103.9024307 1.4056407)",
3,6587709456,2274884038,0,218215445,yes,False,35.456,"LINESTRING (103.9022357 1.4052749, 103.9020857 1.4049935)",
4,6587709457,2274884006,0,218215444,yes,False,38.61,"LINESTRING (103.9024702 1.4051499, 103.902302 1.4048461)",
5,6587709457,2274884357,0,218215444,yes,False,50.425,"LINESTRING (103.9024702 1.4051499, 103.9026898 1.4055467)",
6,2274883603,2274884044,0,173144836,yes,False,94.312,"LINESTRING (103.8968498 1.4041883, 103.8970791 1.4050049)",
7,2274883603,2274883463,0,173144836,yes,False,22.839,"LINESTRING (103.8968498 1.4041883, 103.8968137 1.4039861)",
8,2274878487,2274877959,0,218215447,yes,False,51.666,"LINESTRING (103.9060328 1.3994036, 103.9064012 1.3991203)",
9,2274878487,2274879233,0,218215447,yes,False,75.659,"LINESTRING (103.9060328 1.3994036, 103.9054789 1.399799)",
10,2274881571,411102702,0,173144841,yes,False,20.634,"LINESTRING (103.9002126 1.4018125, 103.9001179 1.4019721)",yard
11,2274881571,411102699,0,173144841,yes,False,25.354,"LINESTRING (103.9002126 1.4018125, 103.9002592 1.4015893)",yard
12,2274879526,2274880211,0,218215447,yes,False,94.684,"LINESTRING (103.9158693 1.3999709, 103.9151945 1.4004905)",
13,2274879526,2274878605,0,218215447,yes,False,93.448,"LINESTRING (103.9158693 1.3999709, 103.9165527 1.3994815)",
14,411685947,2274881749,0,218215448,yes,False,25.342,"LINESTRING (103.9013221 1.401825, 103.9011377 1.401959)",
15,411685947,411686025,0,218215448,yes,False,68.019,"LINESTRING (103.9013221 1.401825, 103.9018654 1.4015436)",
16,411685948,2274881959,0,218215448,yes,False,18.463,"LINESTRING (103.9010024 1.4021169, 103.9009367 1.4022694)",
17,411685948,2274881749,0,218215448,yes,False,23.119,"LINESTRING (103.9010024 1.4021169, 103.9011377 1.401959)",
18,411685949,2274882207,0,218215448,yes,False,16.952,"LINESTRING (103.9009003 1.4024403, 103.9009071 1.4025926)",
19,411685949,2274881959,0,218215448,yes,False,19.429,"LINESTRING (103.9009003 1.4024403, 103.9009367 1.4022694)",
20,2274882628,2274882753,0,218215438,yes,False,26.11,"LINESTRING (103.8979304 1.4030343, 103.8977422 1.4031748)",
21,2274882628,2274882519,0,218215440,yes,False,50.535,"LINESTRING (103.8979304 1.4030343, 103.8983604 1.4028868)",
22,2274882628,2274882650,0,218215441,yes,False,28.355,"LINESTRING (103.8979304 1.4030343, 103.8976765 1.4030588)",
23,2274884681,411102764,0,173144832,yes,False,125.449,"LINESTRING (103.9029617 1.4063676, 103.903494 1.4073624)",
