,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,bridge,access,tunnel,junction
0,368897810,373096527,0,74477405,False,Punggol East,primary,50,16.086,"LINESTRING (103.9166314 1.3953869, 103.9167131 1.3955063)",,,,,,
1,368897810,2274873982,0,383281857,False,Punggol Central,tertiary,60,29.033,"LINESTRING (103.9166314 1.3953869, 103.9164202 1.3955405)",3,,,,,
2,368897810,369175567,0,737957951,False,Punggol Central,tertiary,60,21.766,"LINESTRING (103.9166314 1.3953869, 103.9167883 1.3952698)",,,,,,
3,368897810,2274873406,0,"[630420435, 383281863]",False,Punggol East,primary,60,31.23,"LINESTRING (103.9166314 1.3953869, 103.9165264 1.3952493, 103.916461 1.3951636)",3,,,,,
4,368897966,373096533,0,383281850,False,Edgedale Plains,residential,40,17.629,"LINESTRING (103.9128445 1.3980923, 103.9129423 1.3982171)",,,,,,
5,368897966,2274876138,0,383281858,False,Punggol Central,tertiary,60,31.522,"LINESTRING (103.9128445 1.3980923, 103.912612 1.3982546)",3,,,,,
6,368897966,411679980,0,534638687,False,Punggol Central,tertiary,60,12.426,"LINESTRING (103.9128445 1.3980923, 103.9129379 1.3980309)",4,,,,,
7,368897966,2274875430,0,620264526,False,Edgedale Plains,residential,40,31.706,"LINESTRING (103.9128445 1.3980923, 103.9126808 1.3978588)",3,,,,,
8,368898713,373096623,0,75138968,False,Edgefield Plains,residential,40,15.644,"LINESTRING (103.9090579 1.4008299, 103.909135 1.4009476)",,,,,,
9,368898713,2274880313,0,325024323,False,Edgefield Plains,residential,40,34.271,"LINESTRING (103.9090579 1.4008299, 103.9088758 1.4005812)",2,,,,,
10,368898713,373096990,0,325024330,False,Punggol Central,tertiary,60,14.233,"LINESTRING (103.9090579 1.4008299, 103.908953 1.4009033)",,,,,,
11,368898713,2274880197,0,476147266,False,Punggol Central,tertiary,60,31.124,"LINESTRING (103.9090579 1.4008299, 103.9092798 1.4006592)",4,,,,,
12,368899628,376194047,0,74668479,False,Punggol Way,secondary,60,14.354,"LINESTRING (103.8976929 1.4063554, 103.8977348 1.4064775)",4,,,,,
13,368899628,369166424,0,174281637,False,Punggol Central,tertiary,50,23.923,"LINESTRING (103.8976929 1.4063554, 103.8974777 1.4063536)",4,,,,,
14,368899628,4430972624,0,445716718,False,Punggol Central,tertiary,60,39.296,"LINESTRING (103.8976929 1.4063554, 103.8980464 1.406355)",4,,,,,
15,368899628,4004994591,0,445716728,False,Punggol Way,secondary,60,36.679,"LINESTRING (103.8976929 1.4063554, 103.897594 1.4060407)",3,,,,,
16,368899632,4598672221,0,476395123,False,Punggol Walk,residential,50,35.429,"LINESTRING (103.9007804 1.4060179, 103.9006951 1.4057109)",3,,,,,
17,368899632,2274884591,0,500373595,False,Punggol Central,tertiary,60,15.324,"LINESTRING (103.9007804 1.4060179, 103.9009087 1.4059675)",,,,,,
18,368899632,373096660,0,500373596,False,Punggol Walk,residential,50,15.067,"LINESTRING (103.9007804 1.4060179, 103.900832 1.4061432)",,,,,,
19,368899632,1748996424,0,582412262,False,Punggol Central,tertiary,60,32.898,"LINESTRING (103.9007804 1.4060179, 103.9005046 1.4061252)",3,,,,,
20,368899633,373096643,0,74953808,False,Punggol Place,residential,50,14.305,"LINESTRING (103.9038354 1.4043366, 103.9039067 1.4044437)",3,,,,,
21,368899633,411679981,0,173767824,False,Punggol Central,tertiary,60,9.379,"LINESTRING (103.9038354 1.4043366, 103.9037633 1.4043804)",3,,,,,
22,368899633,4427352185,0,173767826,False,Punggol Place,residential,50,32.053,"LINESTRING (103.9038354 1.4043366, 103.9036825 1.4040922)",2,,,,,
23,368899633,4427352188,0,445282964,False,Punggol Central,tertiary,60,35.203,"LINESTRING (103.9038354 1.4043366, 103.9041064 1.4041728)",4,,,,,
24,368899634,373096628,0,74662287,False,Punggol Road,secondary,60,13.263,"LINESTRING (103.9063242 1.4027819, 103.9063671 1.4028932)",3,,,,,
25,368899634,368902639,0,74962086,False,Punggol Central,tertiary,60,14.871,"LINESTRING (103.9063242 1.4027819, 103.9062096 1.4028509)",4,,,,,
26,368899634,2274881915,0,476147273,False,Punggol Central,tertiary,60,50.465,"LINESTRING (103.9063242 1.4027819, 103.9066905 1.4025138)",4,,,,,
27,368899634,2274882073,0,582412255,False,Punggol Road,secondary,60,44.103,"LINESTRING (103.9063242 1.4027819, 103.9061699 1.4024165)",3,,,,,
28,368900542,2274879836,0,383281849,False,Edgedale Plains,residential,50,24.896,"LINESTRING (103.9147505 1.4007321, 103.9146219 1.4005488)",3,,,,,
