,y,x,osmid,highway,geometry
5218349065,1.3918116,103.9125084,5218349065,traffic_signals,POINT (103.9125084 1.3918116)
5218349066,1.3918931,103.9125736,5218349066,traffic_signals,POINT (103.9125736 1.3918931)
5218398221,1.3936055,103.9097782,5218398221,,POINT (103.9097782 1.3936055)
5218398222,1.3937088,103.9096392,5218398222,,POINT (103.9096392 1.3937088)
5218398223,1.3938751,103.9098601,5218398223,,POINT (103.9098601 1.3938751)
5218398224,1.3938179,103.909936,5218398224,,POINT (103.909936 1.3938179)
5556264977,1.4167984,103.9045144,5556264977,,POINT (103.9045144 1.4167984)
5556264978,1.4162844,103.9048176,5556264978,,POINT (103.9048176 1.4162844)
5218398225,1.393925,103.9097939,5218398225,,POINT (103.9097939 1.393925)
5218349080,1.3909562,103.9135268,5218349080,traffic_signals,POINT (103.9135268 1.3909562)
5218349081,1.391871,103.9124364,5218349081,traffic_signals,POINT (103.9124364 1.391871)
2274873380,1.3947721,103.9159545,2274873380,,POINT (103.9159545 1.3947721)
2274873394,1.3948024,103.915901,2274873394,,POINT (103.915901 1.3948024)
2274873406,1.3951636,103.916461,2274873406,,POINT (103.916461 1.3951636)
4004978752,1.4007331,103.8992839,4004978752,,POINT (103.8992839 1.4007331)
4004978753,1.4010648,103.8994418,4004978753,,POINT (103.8994418 1.4010648)
4004978754,1.4012428,103.8995209,4004978754,,POINT (103.8995209 1.4012428)
4004978755,1.4012516,103.8994885,4004978755,,POINT (103.8994885 1.4012516)
4004978756,1.4013117,103.8999318,4004978756,,POINT (103.8999318 1.4013117)
3057389633,1.3962846,103.9175141,3057389633,,POINT (103.9175141 1.3962846)
3057389634,1.396139,103.9177085,3057389634,,POINT (103.9177085 1.396139)
373096523,1.3953907,103.9168727,373096523,traffic_signals,POINT (103.9168727 1.3953907)
373096527,1.3955063,103.9167131,373096527,traffic_signals,POINT (103.9167131 1.3955063)
3048558674,1.405017,103.9069234,3048558674,,POINT (103.9069234 1.405017)
373096533,1.3982171,103.9129423,373096533,traffic_signals,POINT (103.9129423 1.3982171)
4004991073,1.4049668,103.8987185,4004991073,,POINT (103.8987185 1.4049668)
3593810028,1.39258,103.9148429,3593810028,,POINT (103.9148429 1.39258)
3593810031,1.3920941,103.9149076,3593810031,,POINT (103.9149076 1.3920941)
5681062000,1.4038968,103.8924272,5681062000,,POINT (103.8924272 1.4038968)
3593810032,1.3919941,103.914858,3593810032,,POINT (103.914858 1.3919941)
3593810035,1.3919642,103.9144359,3593810035,,POINT (103.9144359 1.3919642)
5681062011,1.4017279,103.8923567,5681062011,,POINT (103.8923567 1.4017279)
2274873468,1.3949263,103.9112259,2274873468,,POINT (103.9112259 1.3949263)
4322943113,1.3999102,103.9105697,4322943113,,POINT (103.9105697 1.3999102)
6651359371,1.3998129,103.9153433,6651359371,,POINT (103.9153433 1.3998129)
5218807952,1.4184061,103.9033772,5218807952,,POINT (103.9033772 1.4184061)
5218807955,1.4183327,103.9036332,5218807955,,POINT (103.9036332 1.4183327)
4702863508,1.4055681,103.9023321,4702863508,,POINT (103.9023321 1.4055681)
4702863509,1.4050911,103.9020745,4702863509,,POINT (103.9020745 1.4050911)
4702863510,1.4056463,103.9028635,4702863510,,POINT (103.9028635 1.4056463)
5218807956,1.4183292,103.9037396,5218807956,,POINT (103.9037396 1.4183292)
5218807960,1.4186439,103.903966,5218807960,,POINT (103.903966 1.4186439)
5218807961,1.4185265,103.903634,5218807961,,POINT (103.903634 1.4185265)
5218807962,1.4184848,103.9035486,5218807962,,POINT (103.9035486 1.4184848)
5218807965,1.4184448,103.9067667,5218807965,traffic_signals,POINT (103.9067667 1.4184448)
4702863522,1.4058548,103.9029779,4702863522,,POINT (103.9029779 1.4058548)
5218807982,1.4174898,103.9043865,5218807982,,POINT (103.9043865 1.4174898)
373096623,1.4009476,103.909135,373096623,traffic_signals,POINT (103.909135 1.4009476)
2274873521,1.3949801,103.9107893,2274873521,,POINT (103.9107893 1.3949801)
373096628,1.4028932,103.9063671,373096628,traffic_signals,POINT (103.9063671 1.4028932)
5218807988,1.4176033,103.9041278,5218807988,,POINT (103.9041278 1.4176033)
2274873525,1.394945,103.91416,2274873525,,POINT (103.91416 1.394945)
5218807989,1.417605,103.9040382,5218807989,,POINT (103.9040382 1.417605)
373096632,1.4029677,103.9062514,373096632,traffic_signals,POINT (103.9062514 1.4029677)
2274873529,1.3950152,103.9106897,2274873529,,POINT (103.9106897 1.3950152)
5218807995,1.4171285,103.9036517,5218807995,,POINT (103.9036517 1.4171285)
4003659964,1.4018947,103.8954631,4003659964,,POINT (103.8954631 1.4018947)
6589382845,1.4057547,103.9045437,6589382845,,POINT (103.9045437 1.4057547)
5218807996,1.4174097,103.9041418,5218807996,,POINT (103.9041418 1.4174097)
5218807997,1.4185623,103.9035054,5218807997,,POINT (103.9035054 1.4185623)
6192558270,1.4096538,103.9047357,6192558270,,POINT (103.9047357 1.4096538)
5218808001,1.417028,103.9043337,5218808001,,POINT (103.9043337 1.417028)
5218808002,1.4170186,103.9044218,5218808002,,POINT (103.9044218 1.4170186)
373096643,1.4044437,103.9039067,373096643,traffic_signals,POINT (103.9039067 1.4044437)
6192558275,1.4159068,103.9023549,6192558275,,POINT (103.9023549 1.4159068)
5218808008,1.4172626,103.904211,5218808008,,POINT (103.904211 1.4172626)
6192558282,1.4109708,103.899656,6192558282,crossing,POINT (103.899656 1.4109708)
5680984269,1.4032415,103.9038858,5680984269,,POINT (103.9038858 1.4032415)
5680984272,1.4039163,103.9045247,5680984272,,POINT (103.9045247 1.4039163)
