,y,x,osmid,highway,geometry
5189500928,1.375438,103.8865191,5189500928,,POINT (103.8865191 1.375438)
5189500929,1.37706,103.8866996,5189500929,,POINT (103.8866996 1.37706)
5256544257,1.3955551,103.900046,5256544257,,POINT (103.900046 1.3955551)
5256544263,1.3957345,103.8997543,5256544263,,POINT (103.8997543 1.3957345)
5256544264,1.3962976,103.8996671,5256544264,,POINT (103.8996671 1.3962976)
5256544265,1.3957599,103.8996658,5256544265,,POINT (103.8996658 1.3957599)
401506314,1.3720695,103.8860235,401506314,traffic_signals,POINT (103.8860235 1.3720695)
5256544266,1.3958334,103.8994014,5256544266,,POINT (103.8994014 1.3958334)
5256544267,1.3971554,103.8983425,5256544267,,POINT (103.8983425 1.3971554)
5256544268,1.396728,103.8981101,5256544268,,POINT (103.8981101 1.396728)
6411911185,1.3801891,103.9422196,6411911185,,POINT (103.9422196 1.3801891)
5189500945,1.3758782,103.8862872,5189500945,,POINT (103.8862872 1.3758782)
5256544273,1.3966043,103.8966651,5256544273,,POINT (103.8966651 1.3966043)
5256544274,1.39589,103.8970385,5256544274,,POINT (103.8970385 1.39589)
6411911189,1.3803927,103.9433545,6411911189,,POINT (103.9433545 1.3803927)
6411911193,1.3800647,103.9422779,6411911193,,POINT (103.9422779 1.3800647)
5256544282,1.3972387,103.8976112,5256544282,,POINT (103.8976112 1.3972387)
5256544290,1.396797,103.8967415,5256544290,,POINT (103.8967415 1.396797)
5256544291,1.3968623,103.8966029,5256544291,,POINT (103.8966029 1.3968623)
2083586085,1.4057586,103.8581665,2083586085,,POINT (103.8581665 1.4057586)
5189500972,1.3754321,103.8867576,5189500972,,POINT (103.8867576 1.3754321)
383483949,1.3689399,103.8760905,383483949,,POINT (103.8760905 1.3689399)
5256544302,1.3864414,103.8888368,5256544302,,POINT (103.8888368 1.3864414)
5256544303,1.3862913,103.8887414,5256544303,,POINT (103.8887414 1.3862913)
5256544301,1.3927458,103.8870558,5256544301,,POINT (103.8870558 1.3927458)
2083586099,1.404637,103.8598417,2083586099,,POINT (103.8598417 1.404637)
5189500981,1.374753,103.8864304,5189500981,,POINT (103.8864304 1.374753)
5238915129,1.3933387,103.8874146,5238915129,,POINT (103.8874146 1.3933387)
369131578,1.3708235,103.8954944,369131578,,POINT (103.8954944 1.3708235)
5917409344,1.3973521,103.8979082,5917409344,,POINT (103.8979082 1.3973521)
1836941377,1.3794362,103.9418106,1836941377,traffic_signals,POINT (103.9418106 1.3794362)
5917409345,1.3972964,103.8978915,5917409345,,POINT (103.8978915 1.3972964)
5917409346,1.3968483,103.8966389,5917409346,,POINT (103.8966389 1.3968483)
5266833476,1.3678852,103.8728115,5266833476,,POINT (103.8728115 1.3678852)
5266833477,1.3678206,103.8725843,5266833477,,POINT (103.8725843 1.3678206)
5917409350,1.3972377,103.8969228,5917409350,,POINT (103.8969228 1.3972377)
5917409351,1.3972589,103.8969545,5917409351,,POINT (103.8969545 1.3972589)
373096523,1.3953907,103.9168727,373096523,traffic_signals,POINT (103.9168727 1.3953907)
411729996,1.3600901,103.8874959,411729996,,POINT (103.8874959 1.3600901)
5917409357,1.3956916,103.8962839,5917409357,,POINT (103.8962839 1.3956916)
373096527,1.3955063,103.9167131,373096527,traffic_signals,POINT (103.9167131 1.3955063)
5239767121,1.3679417,103.8801495,5239767121,,POINT (103.8801495 1.3679417)
5239767122,1.3679602,103.8799153,5239767122,,POINT (103.8799153 1.3679602)
5239767123,1.3673784,103.8801271,5239767123,,POINT (103.8801271 1.3673784)
5239767124,1.3673971,103.8798389,5239767124,,POINT (103.8798389 1.3673971)
373096533,1.3982171,103.9129423,373096533,traffic_signals,POINT (103.9129423 1.3982171)
5239767126,1.3663134,103.8830869,5239767126,,POINT (103.8830869 1.3663134)
5239767125,1.3669547,103.8832051,5239767125,,POINT (103.8832051 1.3669547)
409469026,1.3683562,103.8828034,409469026,,POINT (103.8828034 1.3683562)
409469027,1.3682601,103.8833487,409469027,,POINT (103.8833487 1.3682601)
5223907427,1.3830995,103.861405,5223907427,,POINT (103.861405 1.3830995)
6933250165,1.3609934,103.8883222,6933250165,,POINT (103.8883222 1.3609934)
6933250166,1.3608496,103.8883355,6933250166,,POINT (103.8883355 1.3608496)
